,Latitude,Longitude,Elevation (m),Moisture,Total nitrogen (%),Total carbon (%),pH,Organic matter (%),Aluminum (mg/Kg),Calcium (mg/Kg),Copper (mg/Kg),Iron (mg/Kg),Potassium (mg/Kg),Magnesium (mg/Kg),Manganese (mg/Kg),Molybdenum (mg/Kg),Sodium (mg/Kg),Phosphorus (mg/Kg),Sulfur (mg/Kg),Zinc (mg/Kg),Precipitation (mm),Max temperature (℃ ),Min temperature (℃ ),Wind speed (m/s),Open water (%),Developed open space (< 20% Impervious Cover) (%),Developed open space (> 20% Impervious Cover) (%),Barren (%),Forest (%),Shrubland (%),Grassland (%),Cropland (%),Pasture (%),Wetland (%)
Copper (mg/Kg),0.04828277422842928,-0.11591423546721179,0.05986063304967382,-0.0012921318119719924,-0.035824691135007906,-0.002435928706675008,-0.06328706683796871,0.0022014430054173107,0.06996187139359719,-0.01923908153011869,1.0,0.055804012304089504,-0.03958786943220935,-0.04275891658113717,0.057421630890375906,0.08629108925035539,0.05487160792108773,-0.017616618099453675,-0.008192004266384187,0.30814135726438563,0.10543006188919297,0.03148728297107935,0.07774613299161255,-0.11893754696366432,-0.06481498699361518,-0.0019220600254612383,-0.011324311691731115,0.0837816259568986,0.14390470603877065,0.02136558626405642,-0.04764999230860331,-0.05673560342745731,-0.08269373331403575,-0.04406235408237094
Iron (mg/Kg),0.04413674594203664,0.2974591027684649,-0.1315688788339389,0.24689692488366258,0.12729182403174572,0.1865731001495523,-0.4890749816783743,0.1852942451960125,0.5426921792773776,-0.16122247375721893,0.055804012304089504,1.0,-0.21145104585250127,-0.15743300033906024,0.06054764722857079,0.08987568760086505,0.008617267994124489,-0.04733076717171536,-0.01901640072934073,0.07431054134593952,0.2569789045997716,-0.002918391335934612,0.0502093495268868,0.11808311367946142,0.08634184823481769,0.035773809016756725,-0.05189232952739785,-0.03290673377200559,0.2816067488519181,-0.13713594607497814,-0.1542212761373057,-0.043425671043832714,-0.14072535117764054,0.04327826143687449
Potassium (mg/Kg),0.16324797437724825,-0.4212155428590568,0.19189967471296773,0.07377545688278556,0.22178015245400962,0.1607253533215717,0.4629639310189791,0.1460954591123286,-0.25925766679022116,0.3948258170190051,-0.03958786943220935,-0.21145104585250127,1.0,0.6360252942716316,-0.0959495426222403,0.1297877549181381,0.3676585285236931,0.28585103082835955,0.29637598025757333,-0.04331504271025726,-0.39608255341995346,-0.10810629655868113,-0.19914955085263172,-0.12084186528684682,0.07983852272947382,-0.20858479337258137,-0.05609596985677193,-0.01090300249887638,-0.38995710434161485,0.11306082181613743,0.343954484983686,-0.0018874635891360828,0.17759731033071316,-0.009145886466543896
Magnesium (mg/Kg),0.17523936679868857,-0.21156525551112615,-0.04317315979421581,0.1873918316842478,0.24848966495396746,0.1593317667213105,0.3604398786275957,0.13840596994311827,-0.2470147724823565,0.26476973171285983,-0.04275891658113717,-0.15743300033906024,0.6360252942716316,1.0,-0.01846722820670091,0.11582127603412051,0.49429149546654133,0.2274569908834285,0.598729963258731,0.0234208727874073,-0.20794943763697724,-0.16135440254060437,-0.20535205213178448,-0.02093325061966103,0.17735028121199223,-0.15801922914130478,-0.06087322891161384,0.0028847275625880956,-0.35973822641309683,-0.04616838204559729,0.0897480164921373,0.1628458853007393,0.25035275580268884,0.1912761231666748
Manganese (mg/Kg),-0.06581895327256872,0.16755141115888159,-0.13573925946467938,0.21463378208923678,0.1523185738011422,0.26945706899886546,-0.27617071491100553,0.31668769966677757,0.31094598966050757,-0.051922067304308366,0.057421630890375906,0.06054764722857079,-0.0959495426222403,-0.01846722820670091,1.0,0.14392299383261137,0.02860342671925757,0.012153412430409509,0.010138540287790746,0.1972777819512821,0.25848378643273795,0.07006440947005037,0.11996768448138521,-0.02748871623012742,-0.07226038095459349,0.11272031934884812,-0.002917997609583205,0.014671902235158683,0.31732679164053434,-0.1842385069511166,-0.15714023335664856,0.0426960468996185,-0.10471743438440594,-0.036800043279205205
Molybdenum (mg/Kg),-0.1463831860197196,0.01520023969757461,-0.04306357081106549,0.13911730596107055,0.057477867410477175,0.20408602391364888,0.09842411125340071,0.13067659383059146,0.10625086909910707,0.4360003721390956,0.08629108925035539,0.08987568760086505,0.1297877549181381,0.11582127603412051,0.14392299383261137,1.0,0.07890844192534244,0.036703208767433056,-0.04423145189782983,0.006893628799458749,0.07658365280539142,0.12515910453478782,0.12443160892107373,-0.1393627299858058,-0.19002237076875472,-0.051120179354447494,-0.122442900042779,-0.07641169301193548,0.13123446820082163,0.0032506944601075867,0.07256782267013169,-0.00959401469430925,-0.0033586169212803914,-0.08227672769865135
Sodium (mg/Kg),0.09311363078062974,-0.046458109551608916,0.000984470606970002,0.49365435311503303,0.3683348277958686,0.3393443405785402,0.03022473907968728,0.33919779446977427,-0.02796249172292532,0.12163857899961544,0.05487160792108773,0.008617267994124489,0.3676585285236931,0.49429149546654133,0.02860342671925757,0.07890844192534244,1.0,0.16825642166537713,0.32921221016110247,0.23580480704955817,0.011461300902949875,-0.05006160679617952,-0.05921649510501144,0.08978367595337212,0.3391774085987572,-0.07781205387789751,-0.004294711710255335,0.10787101074440833,-0.12333162395176833,-0.03298907493148101,0.03700993629428346,-0.00014093507395795797,-0.01993246536054504,0.05706092975667462
Phosphorus (mg/Kg),0.1650577969438621,-0.07648065626040648,0.025944575631959385,0.21985367291239435,0.36149584530864237,0.37119510279842644,0.16761031975519006,0.2853567788698958,-0.09003574315042753,0.10898649384392757,-0.017616618099453675,-0.04733076717171536,0.28585103082835955,0.2274569908834285,0.012153412430409509,0.036703208767433056,0.16825642166537713,1.0,0.031932988463229436,0.5043184417147922,-0.14933635356219271,-0.163075283783414,-0.16353486105551215,-0.004831688307276995,0.052917577582455105,-0.03935215574223894,-0.017735829818943522,-0.003901669380448297,-0.15628550793715246,0.037225586846880945,0.026117797854613607,0.027335778647071558,0.10411076971672138,0.043373481338041316
Sulfur (mg/Kg),-0.00742451145773517,-0.018052274100677487,-0.048628938729745046,0.07191964371001673,0.0490222954790999,0.013119967172152705,0.08119313801602525,0.009515555276324205,-0.039762422380163476,0.04602915953320582,-0.008192004266384187,-0.01901640072934073,0.29637598025757333,0.598729963258731,0.010138540287790746,-0.04423145189782983,0.32921221016110247,0.031932988463229436,1.0,-0.03003347677832525,-0.047500043795959034,-0.020066525349868143,-0.02405411899476732,0.032411018385361465,0.23754055866152238,-0.04864074918415476,-0.021771196487920197,0.03846840838103484,-0.102749440942022,-0.04180229033828981,-0.03790828042996908,0.07539114188123362,0.0296728190487562,0.082594603094023
Zinc (mg/Kg),0.09550738117239176,0.15491894517738652,-0.0950211974136935,0.35332290780300885,0.4061651046619352,0.4297710197291326,-0.1877741248187201,0.37151122888653276,0.09800670404118003,-0.06024263090307699,0.30814135726438563,0.07431054134593952,-0.04331504271025726,0.0234208727874073,0.1972777819512821,0.006893628799458749,0.23580480704955817,0.5043184417147922,-0.03003347677832525,1.0,0.08571845879017771,-0.09876464382597576,-0.03858405215643217,0.04943865812542258,0.11175006013238423,0.16552022116942686,0.09607737843264817,0.03513906507093313,0.12069672897936708,-0.1799324850188665,-0.14019415963557796,0.027803731408025046,-0.08873802518434386,0.08669600420821395
Precipitation (mm),-0.3942413412560263,0.2997943688407292,-0.3069743604239822,0.20397535681895568,0.05975726037516318,0.17592673342150067,-0.5500130580443438,0.22531975743928292,0.46571265029977915,-0.26457088627091857,0.10543006188919297,0.2569789045997716,-0.39608255341995346,-0.20794943763697724,0.25848378643273795,0.07658365280539142,0.011461300902949875,-0.14933635356219271,-0.047500043795959034,0.08571845879017771,1.0,0.46228521772562337,0.5574937880833928,0.0035376836201401925,0.10893805597803337,0.18478780349227092,0.03723184728900504,0.14087313473578528,0.5102992973394485,-0.17789729221511494,-0.3835835751048639,-0.06266517408687365,-0.35111971926602753,0.11980580232620677
Max temperature (℃ ),-0.8922688195480709,1.0162055869385534e-05,-0.2281003151291186,-0.08757482916342485,-0.145017695690514,-0.03618789316568491,-0.030445688289400016,-0.022762902970273984,0.10447499901907209,0.14005311588603472,0.03148728297107935,-0.002918391335934612,-0.10810629655868113,-0.16135440254060437,0.07006440947005037,0.12515910453478782,-0.05006160679617952,-0.163075283783414,-0.020066525349868143,-0.09876464382597576,0.46228521772562337,1.0,0.9487389378948723,-0.2699976868103395,-0.027018992140853015,0.15337009695667558,0.18870528928718086,0.030158576573610287,0.1604725706854153,0.2380305099870479,-0.07691540390561394,-0.15589116261672417,-0.4413253037822849,0.03166757750151675
Min temperature (℃ ),-0.833902409131586,0.1498040771121612,-0.3954549530120263,-0.026195104311966068,-0.11793591160222136,-0.005318593562298346,-0.15795900946156152,0.020444344911399584,0.17507519288392706,0.05837192113907762,0.07774613299161255,0.0502093495268868,-0.19914955085263172,-0.20535205213178448,0.11996768448138521,0.12443160892107373,-0.05921649510501144,-0.16353486105551215,-0.02405411899476732,-0.03858405215643217,0.5574937880833928,0.9487389378948723,1.0,-0.1782207985427768,-0.007295474916668707,0.26242378676631395,0.25533998226292276,0.028102883372802475,0.21982819220906497,0.08841989797761365,-0.20774347867598186,-0.07653978070632683,-0.39334735715557734,0.04469310153319283
Wind speed (m/s),0.3322593132135768,0.4957731287560103,-0.2872298101206745,0.30761437832359667,0.2263962225332842,0.13903067207412903,-0.22656136785050393,0.13870760408349683,0.07833868771476483,-0.20183422776224713,-0.11893754696366432,0.11808311367946142,-0.12084186528684682,-0.02093325061966103,-0.02748871623012742,-0.1393627299858058,0.08978367595337212,-0.004831688307276995,0.032411018385361465,0.04943865812542258,0.0035376836201401925,-0.2699976868103395,-0.1782207985427768,1.0,0.35915974513256593,0.035596918047628136,-0.027345251249046666,-0.15882117816688657,-0.10642221704546811,-0.33947156067279666,0.07271085868985007,0.013687526549741381,0.14139250618913712,0.140541545735033
Open water (%),0.08240819966779882,0.20086710943009178,-0.24785923168091561,0.34151266364148747,0.35734752387350777,0.2330599566979275,-0.17952094888424522,0.21283136089489255,0.08337311665859776,-0.08699938789945043,-0.06481498699361518,0.08634184823481769,0.07983852272947382,0.17735028121199223,-0.07226038095459349,-0.19002237076875472,0.3391774085987572,0.052917577582455105,0.23754055866152238,0.11175006013238423,0.10893805597803337,-0.027018992140853015,-0.007295474916668707,0.35915974513256593,1.0,-0.060345343744749445,0.012817460574687689,0.11092085191434463,-0.14023409660855515,-0.1839558200789791,-0.09325847780332731,-0.09800094151698503,-0.09208973060773983,0.11382109389873844
Developed open space (< 20% Impervious Cover) (%),-0.1663011730108875,0.374062720007873,-0.3756542664543456,0.028715093054691356,0.0030919602623274266,0.010135147971515822,-0.18737089632380638,0.014001457550036242,0.09778708064743281,-0.0765922313102831,-0.0019220600254612383,0.035773809016756725,-0.20858479337258137,-0.15801922914130478,0.11272031934884812,-0.051120179354447494,-0.07781205387789751,-0.03935215574223894,-0.04864074918415476,0.16552022116942686,0.18478780349227092,0.15337009695667558,0.26242378676631395,0.035596918047628136,-0.060345343744749445,1.0,0.8330219389089528,-0.025180023588267913,-0.047570716061265214,-0.3082994788097469,-0.2700718446584015,0.12376423188589479,-0.1562138468111134,-0.05481459162130676
Developed open space (> 20% Impervious Cover) (%),-0.1875233247204193,0.130914840045331,-0.2653414522371852,-0.044074788283063854,-0.022470819264381027,-0.040686148999562,-0.007622253162982658,-0.03969896829823393,-0.058818052548015316,0.007896519142010647,-0.011324311691731115,-0.05189232952739785,-0.05609596985677193,-0.06087322891161384,-0.002917997609583205,-0.122442900042779,-0.004294711710255335,-0.017735829818943522,-0.021771196487920197,0.09607737843264817,0.03723184728900504,0.18870528928718086,0.25533998226292276,-0.027345251249046666,0.012817460574687689,0.8330219389089528,1.0,0.060936780499749946,-0.2098835508056098,-0.19528581952462082,-0.19157006347031197,0.057305841887399,-0.19131482267353977,-0.011651606935120087
Barren (%),-0.07714525828865175,-0.14289609784803622,0.18214061776298338,-0.014502929678681536,0.017641171414863727,0.036765200243324726,-0.020660758654942248,0.023458820788010586,0.014118046355738973,0.029821938038734,0.0837816259568986,-0.03290673377200559,-0.01090300249887638,0.0028847275625880956,0.014671902235158683,-0.07641169301193548,0.10787101074440833,-0.003901669380448297,0.03846840838103484,0.03513906507093313,0.14087313473578528,0.030158576573610287,0.028102883372802475,-0.15882117816688657,0.11092085191434463,-0.025180023588267913,0.060936780499749946,1.0,0.0578707834233808,0.11552250109516257,-0.10015724829800657,-0.12105695843290304,-0.1518980250398407,-0.019089941261604734
Forest (%),-0.19964364635139475,0.24611855879322658,0.08856482936053485,0.12052133426815645,-0.014711713871381352,0.1659352140459272,-0.48312916927626587,0.22379036208674666,0.45486122544676494,-0.18243897049576419,0.14390470603877065,0.2816067488519181,-0.38995710434161485,-0.35973822641309683,0.31732679164053434,0.13123446820082163,-0.12333162395176833,-0.15628550793715246,-0.102749440942022,0.12069672897936708,0.5102992973394485,0.1604725706854153,0.21982819220906497,-0.10642221704546811,-0.14023409660855515,-0.047570716061265214,-0.2098835508056098,0.0578707834233808,1.0,-0.23214141556511877,-0.34100883124579917,-0.09441694131025814,-0.4681205152776484,-0.17897413801180703
Shrubland (%),-0.20094494135427193,-0.5134751701484669,0.46137919716129067,-0.2680816997206674,-0.22787733903403362,-0.1870987478032545,0.36814498994518413,-0.22202975664780975,-0.16366068270887046,0.1679310390160392,0.02136558626405642,-0.13713594607497814,0.11306082181613743,-0.04616838204559729,-0.1842385069511166,0.0032506944601075867,-0.03298907493148101,0.037225586846880945,-0.04180229033828981,-0.1799324850188665,-0.17789729221511494,0.2380305099870479,0.08841989797761365,-0.33947156067279666,-0.1839558200789791,-0.3082994788097469,-0.19528581952462082,0.11552250109516257,-0.23214141556511877,1.0,0.17320649253802844,-0.31179823732334694,-0.24271700850767655,-0.2049045726625333
Grassland (%),0.1689938608380784,-0.3382299503380383,0.301426490494875,-0.1360047286935329,-0.0913741539085936,-0.108493597086659,0.37000571626856016,-0.14129397014169634,-0.20531376036835844,0.26106304919305945,-0.04764999230860331,-0.1542212761373057,0.343954484983686,0.0897480164921373,-0.15714023335664856,0.07256782267013169,0.03700993629428346,0.026117797854613607,-0.03790828042996908,-0.14019415963557796,-0.3835835751048639,-0.07691540390561394,-0.20774347867598186,0.07271085868985007,-0.09325847780332731,-0.2700718446584015,-0.19157006347031197,-0.10015724829800657,-0.34100883124579917,0.17320649253802844,1.0,-0.26182005845120193,-0.07938857110607433,-0.1670577784654839
Cropland (%),0.13795118301083156,0.14397974228306074,-0.285521847878407,0.037980930668017374,0.06255288990234892,-0.00812446362310604,-0.026949106263693477,0.007491783246059924,-0.07178494808451466,-0.07826048516442885,-0.05673560342745731,-0.043425671043832714,-0.0018874635891360828,0.1628458853007393,0.0426960468996185,-0.00959401469430925,-0.00014093507395795797,0.027335778647071558,0.07539114188123362,0.027803731408025046,-0.06266517408687365,-0.15589116261672417,-0.07653978070632683,0.013687526549741381,-0.09800094151698503,0.12376423188589479,0.057305841887399,-0.12105695843290304,-0.09441694131025814,-0.31179823732334694,-0.26182005845120193,1.0,0.1746481477227537,0.016568303385670478
Pasture (%),0.37334575269698145,0.007791090315542083,-0.150230442535743,-0.04128257176166357,0.06518252912296356,-0.06255269199602075,0.17375787374898857,-0.06971409113477738,-0.24844811544840792,-0.011256351962290554,-0.08269373331403575,-0.14072535117764054,0.17759731033071316,0.25035275580268884,-0.10471743438440594,-0.0033586169212803914,-0.01993246536054504,0.10411076971672138,0.0296728190487562,-0.08873802518434386,-0.35111971926602753,-0.4413253037822849,-0.39334735715557734,0.14139250618913712,-0.09208973060773983,-0.1562138468111134,-0.19131482267353977,-0.1518980250398407,-0.4681205152776484,-0.24271700850767655,-0.07938857110607433,0.1746481477227537,1.0,-0.009074158720353623
Wetland (%),-0.03748528408781786,0.16372169763988811,-0.2675674815995602,0.13430460991992685,0.07541220669862968,0.023271124625107394,-0.053539688380230904,0.010561259458110026,-0.05336598523160047,-0.04088937387067621,-0.04406235408237094,0.04327826143687449,-0.009145886466543896,0.1912761231666748,-0.036800043279205205,-0.08227672769865135,0.05706092975667462,0.043373481338041316,0.082594603094023,0.08669600420821395,0.11980580232620677,0.03166757750151675,0.04469310153319283,0.140541545735033,0.11382109389873844,-0.05481459162130676,-0.011651606935120087,-0.019089941261604734,-0.17897413801180703,-0.2049045726625333,-0.1670577784654839,0.016568303385670478,-0.009074158720353623,1.0
