,index,Sample ID ,Sampling date,Sampling grid,US state,Latitude,Longitude,Elevation (m),Moisture,Open water (%),Developed open space (< 20% Impervious Cover) (%),Developed open space (> 20% Impervious Cover) (%),Barren (%),Forest (%),Shrubland (%),Grassland (%),Cropland (%),Pasture (%),Wetland (%),Number of Listeria isolates obtained,"Number of Listeria isolates selected for WGS (i.e., number of isolates with unique sigB)",If selected for soil property analysis: Yes(Y)/No(N),date_ymd,temp_mean,temp_min,temp_max,rh_mean,rh_min,rh_max,ppt_sum_mm,ppt_hours_gt0,wind_mean,wind_min,wind_max
37,37,TX-DP-3,43226,35,TX,31.03072,-97.6178,206.11,0.183840749,11.15605201,7.882086854,11.97023821,0.48489965,25.13918027,4.695693444,36.63984913,0.447308901,0.352177008,1.232514527,0,0,N,2018-05-06,22.204166666666666,14.9,27.9,69.5,41.0,100.0,0.0,0.0,5.704166666666667,1.8,10.6
38,38,TX-DP-4,43226,35,TX,31.0289,-97.6049,206.56,0.134295228,12.09149641,7.478475508,8.926524975,0.478555267,24.9470021,3.553902534,40.04080313,0.631147231,0.596095157,1.255997683,0,0,N,2018-05-06,22.204166666666666,14.9,27.9,69.5,41.0,100.0,0.0,0.0,5.704166666666667,1.8,10.6
39,39,TX-DP-5,43226,35,TX,31.02748,-97.6006,203.46,0.15819209,13.79021543,7.292355422,8.356790364,0.48467369,24.1469932,3.142717405,40.08643942,0.71787961,0.712841859,1.269093604,6,1,Y,2018-05-06,22.204166666666666,14.9,27.9,69.5,41.0,100.0,0.0,0.0,5.704166666666667,1.8,10.6
40,40,OR-MD-1,43225,9,OR,44.66694444,-123.2252778,111.82,0.392761394,1.122040838,6.112015117,9.394572463,0.050810981,24.42181513,3.317831085,0.957849982,25.33179361,23.56894651,5.722324287,0,0,Y,2018-05-05,14.754166666666668,8.9,20.9,74.5,49.0,95.0,0.1,1.0,8.004166666666666,4.1,10.1
41,41,OR-MD-2,43225,9,OR,44.66777778,-123.2302778,135.15,0.486171761,1.0630056,6.046723537,8.233201971,0.050179407,27.47983901,3.855206166,1.019124863,24.49153984,22.24249461,5.518685006,0,0,Y,2018-05-05,14.754166666666668,8.9,20.9,74.5,49.0,95.0,0.1,1.0,8.004166666666666,4.1,10.1
42,42,OR-MD-3,43225,9,OR,44.66944444,-123.2272222,138.46,0.435643564,1.049801562,5.97643928,8.858251604,0.05016045,25.89538503,3.477021687,0.986838653,24.82438595,23.12585656,5.755859223,0,0,N,2018-05-05,14.754166666666668,8.9,20.9,74.5,49.0,95.0,0.1,1.0,8.004166666666666,4.1,10.1
43,43,OR-MD-4,43225,9,OR,44.66722222,-123.2333333,147.07,0.516566265,1.008122914,5.796234494,7.877547594,0.050584556,29.28908759,4.095250089,1.065633986,24.00268665,21.45813656,5.356715572,0,0,N,2018-05-05,14.754166666666668,8.9,20.9,74.5,49.0,95.0,0.1,1.0,8.004166666666666,4.1,10.1
44,44,CO-RNF-1,43231,12,CO,40.69,-105.3105556,1744.75,0.16298021,0.218692546,1.191055853,0.360779738,0.004617309,22.84119815,29.90001427,43.66966932,0.110395661,0.377150197,1.326426958,0,0,N,2018-05-11,13.583333333333334,9.0,19.4,77.29166666666667,53.0,100.0,4.5,9.0,12.358333333333334,6.9,20.5
45,45,CO-RNF-2,43231,12,CO,40.69305556,-105.3108333,1750.17,0.165924276,0.197814797,1.010703419,0.306171948,0.004619878,22.18150663,31.42378355,43.09527659,0.095127498,0.320031583,1.364964101,0,0,Y,2018-05-11,13.383333333333335,8.8,19.2,77.29166666666667,53.0,100.0,4.5,9.0,12.358333333333334,6.9,20.5
46,46,CO-RNF-3,43231,12,CO,40.6966667,-105.3125,1780.47,0.162764771,0.181141549,0.768014978,0.256704651,0.004617745,21.45824194,33.73388774,42.20136307,0.07073546,0.200662017,1.124630843,0,0,N,2018-05-11,13.1,7.5,19.3,75.625,47.0,100.0,5.4,10.0,12.895833333333334,4.9,20.8
47,47,CO-RNF-4,43231,12,CO,40.6991667,-105.3147222,1777.57,0.138952164,0.166356889,0.690811142,0.256353239,0.004615197,21.38032164,34.43147061,41.427061,0.046781319,0.128596183,1.467632781,0,0,Y,2018-05-11,13.25,7.7,19.5,75.625,47.0,100.0,5.4,10.0,12.895833333333334,4.9,20.8
48,48,CO-RNF-5,43231,12,CO,40.7022222,-105.3138889,1791.36,0.10864745,0.165175123,0.663219047,0.251435575,0.004617348,21.63080527,35.49334262,40.34659492,0.041975889,0.114594177,1.288240035,0,0,N,2018-05-11,13.15,7.6,19.4,75.625,47.0,100.0,5.4,10.0,12.895833333333334,4.9,20.8
49,49,WY-BB-1,43232,12,WY,44.48055556,-109.3216667,1658.22,0.180345572,9.522790094,0.375269961,0.379677495,0.121102219,10.31761523,73.42887186,2.543146601,2.39035212,0.686525752,0.234648667,0,0,Y,2018-05-12,3.5125000000000006,2.0,5.4,91.5,80.0,99.0,8.900000000000002,15.0,4.775,1.8,7.8
50,50,WY-BB-2,43232,12,WY,44.47944444,-109.3169444,1669.42,0.13038674,10.08751215,0.390225676,0.35160194,0.109573858,9.880329393,72.98626548,2.384176023,2.783847722,0.810048888,0.216418866,0,0,N,2018-05-12,3.5125000000000006,2.0,5.4,91.5,80.0,99.0,8.900000000000002,15.0,4.775,1.8,7.8
51,51,WY-BB-3,43232,12,WY,44.47777778,-109.3413889,1662.83,0.169941061,5.643049026,0.443460376,0.358671927,0.09192411,11.83029718,75.72301041,2.591294493,2.308596373,0.54356951,0.466126595,0,0,N,2018-05-12,3.5125000000000006,2.0,5.4,91.5,80.0,99.0,8.900000000000002,15.0,4.775,1.8,7.8
52,52,WY-BB-4,43232,12,WY,44.47833333,-109.3616667,1665.72,0.140350877,3.653386839,0.320277378,0.35406811,0.112495855,12.60289383,76.52593491,2.772099349,2.644701991,0.3733771,0.640764636,0,0,N,2018-05-12,3.4583333333333335,1.9,5.4,91.5,80.0,99.0,8.900000000000002,15.0,4.775,1.8,7.8
53,53,WY-BB-5,43232,12,WY,44.47972222,-109.335,1651.09,0.20977354,6.604958497,0.496101758,0.420279262,0.097456061,11.11209127,75.24469032,2.929352757,2.084803576,0.611620795,0.398645697,0,0,N,2018-05-12,3.5583333333333336,2.0,5.5,91.5,80.0,99.0,8.900000000000002,15.0,4.775,1.8,7.8
54,54,CA-YNP-1,43235,22,CA,37.742,-119.555,1220.16,0.377720871,0.096966135,0.566055556,0.069051642,1.920013433,63.76824674,28.7013464,4.464220126,0.0,0.0,0.414099967,0,0,N,2018-05-15,11.358333333333334,4.3,17.4,80.58333333333333,60.0,97.0,1.1,7.0,6.320833333333333,1.1,10.5
55,55,CA-YNP-2,43235,22,CA,37.7445,-119.5503,1258.66,0.084835631,0.148031807,0.459423537,0.0716012,2.319794897,62.04380482,29.83187366,4.810298814,0.0,0.0,0.315171265,0,0,Y,2018-05-15,11.5625,5.0,17.4,81.54166666666667,63.0,98.0,1.0,9.0,5.529166666666666,1.4,11.0
56,56,CA-YNP-3,43235,22,CA,37.7505,-119.5481,1251.28,0.151912568,0.134744583,0.467198509,0.079545478,2.265262133,60.73517652,30.92744991,5.083774611,0.0,0.0,0.306848257,0,0,Y,2018-05-15,11.5625,5.0,17.4,81.54166666666667,63.0,98.0,1.0,9.0,5.529166666666666,1.4,11.0
57,57,CA-YNP-4,43235,22,CA,37.7516,-119.5431,1262.69,0.100108814,0.199344053,0.450097888,0.078478606,3.009255859,59.40012129,31.20280005,5.349345207,0.0,0.0,0.310557051,0,0,Y,2018-05-15,11.283333333333333,4.7,17.1,81.5,62.0,98.0,1.0,9.0,5.529166666666666,1.4,11.0
58,58,CA-YNP-5,43235,22,CA,37.754,-119.5414,1253.52,0.081865285,0.207360892,0.447882736,0.078285033,2.81091541,58.90791329,31.77826656,5.4402851,0.0,0.0,0.32909097,0,0,N,2018-05-15,11.4625,4.9,17.3,81.54166666666667,63.0,98.0,1.0,9.0,5.529166666666666,1.4,11.0
59,59,CO-HM-1,43231,12,CO,40.42305556,-105.1597222,1586.42,0.072992701,3.757414707,7.964854393,13.48185837,0.067167907,8.027824306,27.79554929,26.80356326,2.48206407,5.923579714,3.696123992,6,1,Y,2018-05-11,14.541666666666666,8.9,21.5,71.41666666666667,41.0,95.0,6.4,7.0,10.362499999999999,2.1,17.5
60,60,CO-HM-2,43231,12,CO,40.42,-105.1569444,1580.18,0.054166667,4.015976593,8.29326242,14.05570819,0.061706759,7.504087548,26.65878891,26.89134363,2.642476498,6.11568548,3.760963969,0,0,Y,2018-05-11,14.799999999999999,9.2,21.8,71.45833333333333,41.0,95.0,6.4,7.0,10.362499999999999,2.1,17.5
61,61,CO-HM-3,43231,12,CO,40.41694444,-105.155,1567.92,0.080851064,4.246601795,8.473053641,14.68910308,0.057721209,7.153231968,25.59862141,26.77235595,2.842822,6.29224143,3.874247525,0,0,N,2018-05-11,14.799999999999999,9.2,21.8,71.45833333333333,41.0,95.0,6.4,7.0,10.362499999999999,2.1,17.5
62,62,CO-HM-4,43231,12,CO,40.41666667,-105.1522222,1556.1,0.096949891,4.490893518,8.664802546,14.9958855,0.058988505,6.684594134,25.10685106,26.77931162,2.756505529,6.606082743,3.856084843,0,0,Y,2018-05-11,14.799999999999999,9.2,21.8,71.45833333333333,41.0,95.0,6.4,7.0,10.362499999999999,2.1,17.5
63,63,CO-HM-5,43231,12,CO,40.41444444,-105.1525,1552.88,0.095596133,4.573071555,8.582641636,15.11380211,0.060652486,6.703044167,24.67821652,26.617627,2.878789469,6.548999444,4.243155608,0,0,Y,2018-05-11,14.799999999999999,9.2,21.8,71.45833333333333,41.0,95.0,6.4,7.0,10.362499999999999,2.1,17.5
64,64,MO-CSP-1,43233,27,MO,38.535924,-90.569899,123.51,0.325376884,2.541743269,11.06186147,24.09293911,1.33708582,49.42075705,0.160341166,0.789743202,3.700858791,2.464510875,4.43015925,0,0,Y,2018-05-13,25.60833333333333,19.3,32.5,64.08333333333333,36.0,85.0,0.0,0.0,11.016666666666666,6.9,13.5
65,65,MO-CSP-2,43233,27,MO,38.5354306,-90.5719247,127.82,0.300370828,2.580085926,11.04989537,23.56330162,1.313654747,49.5704754,0.162029312,0.813294799,3.781663403,2.547554134,4.61804528,0,0,N,2018-05-13,25.60833333333333,19.3,32.5,64.08333333333333,36.0,85.0,0.0,0.0,11.016666666666666,6.9,13.5
66,66,MO-CSP-3,43233,27,MO,38.5350089,-90.5760657,128.35,0.312577833,2.587623479,11.10915238,22.72029952,1.331377401,49.65613779,0.168940543,0.875762593,4.107458777,2.673877595,4.769369925,3,1,Y,2018-05-13,25.60833333333333,19.3,32.5,64.08333333333333,36.0,85.0,0.0,0.0,11.016666666666666,6.9,13.5
67,67,MO-CSP-4,43233,27,MO,38.53363,-90.5831,124.28,0.137275607,2.519024374,10.95816527,21.2583999,1.250383006,48.95948323,0.164325259,0.854575294,5.010976004,3.102872229,5.921795448,6,1,Y,2018-05-13,25.60833333333333,19.3,32.5,64.08333333333333,36.0,85.0,0.0,0.0,11.016666666666666,6.9,13.5
68,68,MO-CSP-5,43233,27,MO,38.5351267,-90.5880978,126.54,0.041136141,2.677585534,11.11864506,20.91203748,1.099374005,49.26526465,0.141279111,0.803590547,5.626393373,3.197148387,5.158681843,0,0,Y,2018-05-13,25.60833333333333,19.3,32.5,64.08333333333333,36.0,85.0,0.0,0.0,11.016666666666666,6.9,13.5
69,69,OR-SN-1,43233,9,OR,44.4974,-123.5447,799.34,0.587955626,0.032119779,5.411867944,0.220009993,0.01637479,82.32488422,6.866285148,3.161803914,1.390387579,0.000419866,0.575846766,0,0,Y,2018-05-13,14.845833333333331,7.3,24.5,61.708333333333336,29.0,96.0,0.0,0.0,7.083333333333333,3.1,12.7
70,70,OR-SN-2,43233,9,OR,44.5,-123.5429,842.6,2.557894737,0.03863006,5.127510691,0.205747061,0.011966921,82.27510062,7.171334816,3.147090254,1.429312238,0.000419892,0.59288745,0,0,N,2018-05-13,14.295833333333334,6.7,24.0,61.458333333333336,28.0,96.0,0.0,0.0,7.083333333333333,3.1,12.7
71,71,OR-SN-3,43233,9,OR,44.505,-123.5428,878.07,3.977678571,0.038827779,4.90489293,0.223731958,0.011123634,82.11886337,7.511391231,3.077888524,1.512604337,0.00041976,0.600256473,0,0,N,2018-05-13,13.845833333333331,6.3,23.5,61.333333333333336,28.0,96.0,0.0,0.0,7.083333333333333,3.1,12.7
72,72,OR-SN-4,43233,9,OR,44.5082,-123.542,919.6,0.821782178,0.038854445,4.835173144,0.227035973,0.009661105,81.95746593,7.543222945,3.123477326,1.646798394,0.000420048,0.617890687,0,0,N,2018-05-13,13.695833333333333,6.1,23.4,61.333333333333336,28.0,96.0,0.0,0.0,7.083333333333333,3.1,12.7
73,73,OR-SN-5,43233,9,OR,44.4963,-123.5442,788.14,1.385714286,0.032131652,5.501442774,0.223661496,0.015120777,82.32045127,6.800989571,3.157722307,1.380190942,0.000420022,0.567869188,0,0,N,2018-05-13,14.920833333333333,7.3,24.6,61.708333333333336,29.0,96.0,0.0,0.0,7.083333333333333,3.1,12.7
74,74,CA-DE-1,43239,21,CA,37.5332044,-122.0717586,2.28,0.681967213,42.73671837,2.079931152,31.48359606,1.125081338,0.106630843,0.768665645,3.167859617,0.009235742,3.199135199,15.32314603,0,0,Y,2018-05-19,13.658333333333331,11.9,17.0,73.54166666666667,57.0,86.0,0.0,0.0,18.883333333333333,13.9,25.5
75,75,CA-DE-2,43239,21,CA,37.5323722,-122.0740002,5.93,0.138043478,44.28862215,2.030049943,30.52965124,1.144709783,0.029588282,0.817979603,3.264573803,0.009233223,3.047593067,14.83799891,0,0,N,2018-05-19,13.783333333333333,12.0,17.1,73.54166666666667,57.0,86.0,0.0,0.0,18.883333333333333,13.9,25.5
76,76,CA-DE-3,43239,21,CA,37.5303536,-122.0724945,17.31,0.050104384,45.20726885,2.001390263,29.9822122,1.013505709,0.015540701,0.660059769,3.387662784,0.009240417,2.858228906,14.86489041,0,0,N,2018-05-19,13.629166666666668,11.8,17.0,73.54166666666667,57.0,86.0,0.0,0.0,18.883333333333333,13.9,25.5
77,77,CA-DE-4,43239,21,CA,37.5293573,-122.0709177,13.73,0.032421479,45.04971898,2.01646246,30.02300211,0.948627219,0.014481256,0.464449565,3.465007828,0.009234424,2.702748081,15.30626808,0,0,N,2018-05-19,13.683333333333332,11.9,17.0,73.54166666666667,57.0,86.0,0.0,0.0,18.883333333333333,13.9,25.5
