Sample ID ,Sampling date,Sampling grid,US state,Latitude,Longitude,Elevation (m),Moisture,Total nitrogen (%),Total carbon (%),pH,Organic matter (%),Aluminum (mg/Kg),Calcium (mg/Kg),Copper (mg/Kg),Iron (mg/Kg),Potassium (mg/Kg),Magnesium (mg/Kg),Manganese (mg/Kg),Molybdenum (mg/Kg),Sodium (mg/Kg),Phosphorus (mg/Kg),Sulfur (mg/Kg),Zinc (mg/Kg),Precipitation (mm),Max temperature (℃ ),Min temperature (℃ ),Wind speed (m/s),Open water (%),Developed open space (< 20% Impervious Cover) (%),Developed open space (> 20% Impervious Cover) (%),Barren (%),Forest (%),Shrubland (%),Grassland (%),Cropland (%),Pasture (%),Wetland (%),Number of Listeria isolates obtained,Listeria species detected,"Number of Listeria isolates selected for WGS (i.e., number of isolates with unique sigB)",If selected for soil property analysis: Yes(Y)/No(N)
TX-LL-1,43198,35,TX,33.0642209,-96.9899963,161.53,0.186774942,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40.87499619,13.10257816,1.339354873,3.509706497,24.78938231,9.172917493,39.68094017,0.068229006,10.12749377,1.092503837,11.73727844,0.740442166,0.038628114,2.552184693,0,-,0,N
TX-LL-2,43198,35,TX,33.0640456,-96.9824472,143.07,0.192941176,0.072173,1.181303,7.212,1.923284672,1.993743758,1675.913793,0.058314055,1.839464054,121.650465,142.3597602,3.963978229,0.023187872,20.05415753,26.08474912,8.709318875,0.91378583,40.87499619,13.10257816,1.339354873,3.509706497,25.7036482,8.391520333,38.48359116,0.08583763,10.87808328,1.168567057,11.20254533,0.784711248,0.047431062,3.254064695,4,"booriae, welshimeri",2,Y
TX-LL-3,43198,35,TX,33.0645494,-96.9761591,140.17,0.489177489,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40.87499619,13.10257816,1.339354873,3.509706497,25.69900194,7.937697608,37.5011022,0.099092631,10.75281007,1.128228383,11.17983213,0.869789764,0.064242256,4.768203022,0,-,0,N
TX-LL-4,43198,35,TX,33.0672841,-96.9664378,140.72,0.19695321,0.23107,3.234905,7.257,4.649454927,1.820907009,6172.591777,0,1.936594799,215.7595692,107.4101224,10.48861739,-0.07221797,53.85309579,10.86042134,10.03469923,0.269774603,40.87499619,13.10257816,1.339354873,3.509706497,26.85098358,7.913711324,36.33430464,0.097549924,9.93163114,0.907738751,12.24933341,0.967317629,0.079298648,4.668130964,0,-,0,Y
TX-LL-5,43198,35,TX,33.0635452,-96.9676049,137.14,0.166281755,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40.87499619,13.10257816,1.339354873,3.509706497,24.26308944,7.780667897,37.64683672,0.110337305,10.52714382,1.041491861,11.22965263,0.97982044,0.072159758,6.348800134,0,-,0,N
TX-CR-1,43198,39,TX,29.3392,-98.8853,233.32,0.23625,0.220977,4.46839,7.606,3.408316151,3.798579588,40159.83289,0.163455815,36.30001777,377.6325701,704.8367591,97.23841882,0.111357294,204.7155588,5.674389906,793.7161328,0.913569087,29.72500229,16.20677567,2.638387203,2.890915871,0.375876731,6.603761705,2.392515205,0.011752706,16.39019824,47.64694031,2.096179111,0.464651637,21.70724848,2.31087587,6,welshimeri,1,Y
TX-CR-2,43198,39,TX,29.345,-98.8838,234.92,0.156179775,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.72500229,16.20677567,2.638387203,2.890915871,0.497938551,7.644784241,3.089864054,0.011755716,16.30622801,45.74883912,2.319234871,0.447766834,21.83456349,2.099025115,0,-,0,N
TX-CR-3,43198,39,TX,29.3343,-98.887,289.92,0.184757506,0.304335,5.10704,8.126,5.083964386,2.964096615,35511.23403,0.138244742,20.14242057,455.8034234,522.6904334,81.72568318,0.091233445,43.57458092,6.121331645,43.31264351,0.735445857,29.72500229,16.20677567,2.638387203,2.890915871,0.324691679,7.451327731,2.466775247,0.014062277,15.59527507,48.37717126,1.78863768,0.469092374,21.82570332,1.687263355,3,booriae,1,Y
TX-CR-4,43198,39,TX,29.3381,-98.8836,220,0.234278668,0.34658,8.538382,8.064,5.41028777,0,48913.7408,0.289626684,1.40442709,524.5871094,601.480015,26.71839506,0.111555626,44.0635387,16.04813719,52.64456288,0.817437302,29.72500229,16.20677567,2.638387203,2.890915871,0.363946056,6.610393125,2.402673273,0.012376264,15.99726464,47.1162257,1.882660435,0.487708692,22.20553408,2.92121774,4,booriae,1,Y
TX-CR-5,43198,39,TX,29.3372,-98.8821,218.76,0.212303981,0.126951,5.987783,8.186,3.585659068,0.87054068,51831.1782,0.215761663,5.389203646,368.6503102,541.7614557,44.98950821,0.11321677,49.92684081,7.543737284,55.31210772,0.944864383,29.72500229,16.20677567,2.638387203,2.890915871,0.369970646,6.663461094,2.419297266,0.012598319,15.81551021,46.5854355,1.756625666,0.49910342,22.70910061,3.168897269,2,booriae,1,Y
TX-MC-1,43198,39,TX,29.55563,-98.4477,230.39,0.198564593,0.358202,7.455409,8.085,7.480255019,1.153658293,45598.12626,0.173822299,0.540924939,538.6151093,392.2780553,10.09283078,0.099587046,34.1750847,9.367552794,21.5836938,0.3618156,33.52500153,15.76709652,2.681935549,2.899281025,0.19943947,24.17647244,56.19595453,1.044642951,7.68345807,5.588713825,0.71756222,0.046605855,0.010286878,4.336863762,4,"booriae, welshimeri",3,Y
TX-MC-2,43198,39,TX,29.559,-98.4468,227.41,0.409722222,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33.52500153,15.76709652,2.681935549,2.899281025,0.187732174,23.78807869,56.31084253,1.085280749,8.249098571,5.342081583,0.709606643,0.036707408,0.007341482,4.283230168,0,-,0,N
TX-MC-3,43198,39,TX,29.5619,-98.4486,234.33,0.227217497,0.215877,2.8902,7.374,5.918648649,4.146837421,6942.657436,0.060519143,0.202581234,344.8315005,272.2829344,3.685135625,0.022970454,29.11494203,2.946750172,5.502829595,0.213568984,33.52500153,15.76709652,2.681935549,2.899281025,0.17550526,23.81896087,56.54460374,1.088300559,8.743352948,5.275654523,0.669271254,0.023302732,0.007137774,3.653910345,6,booriae,1,Y
TX-MC-4,43198,39,TX,29.5612,-98.4525,230.79,0.319736842,0.475218,6.338093,7.62,8.98778278,2.295803047,15531.43048,0,0.304102581,474.0844061,222.9320719,3.744620184,-0.054903747,71.12826606,13.73719009,8.789742658,0.275661648,33.52500153,15.76709652,2.681935549,2.899281025,0.196083371,24.01664399,56.54842881,1.047387514,8.100090694,4.996976873,0.636746108,0.02330327,0.007137939,4.427201424,0,-,0,Y
TX-MC-5,43198,39,TX,29.562,-98.4572,236.48,0.214532872,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33.52500153,15.76709652,2.681935549,2.899281025,0.184956973,24.2365014,58.34416273,1.001622835,8.023059789,4.668221621,0.595179362,0.019104523,0.007137954,2.920052821,0,-,0,N
NC-CMSP-1,43212,29,NC,35.2364447,-81.2685146,288.9,0.214371257,0.064749,3.080316,4.192,4.974460967,96.42295738,44.46243408,0.095374093,106.6746293,55.31780818,19.75011384,5.088704324,0.026117315,24.34592686,2.575267386,24.35493858,0.521595322,171.5749817,9.899355888,-0.027419336,3.485564709,0.599601665,16.13425872,14.64963073,0.085207657,51.46563466,1.928295448,1.626500841,11.77775493,1.119872063,0.613243285,0,-,0,Y
NC-CMSP-2,43212,29,NC,35.2323662,-81.2722893,337.76,0.214285714,0.106014,3.178077,5.064,3.752152817,117.5123969,52.10907674,0.121283535,50.36890185,38.94404751,20.32809591,14.16528796,0.03053738,28.53198589,5.216969572,20.61893027,0.649306744,171.5749817,9.899355888,-0.027419336,3.485564709,0.600663018,14.87213079,13.66723563,0.087338628,53.66538808,2.116702043,1.709821607,11.5782468,1.124904736,0.577568669,0,-,0,Y
NC-CMSP-3,43212,29,NC,35.2314991,-81.2768058,446.24,0.416901408,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,171.5749817,9.899355888,-0.027419336,3.485564709,0.560199984,14.32361466,13.07497109,0.08773458,54.6664092,2.067639583,1.721948547,11.8023999,1.148105626,0.54697683,0,-,0,N
NC-CMSP-4,43212,29,NC,35.238171,-81.2742551,353.29,0.255,0.125547,4.382808,4.435,6.250489671,112.3026762,290.9443592,0.246085638,282.8510365,37.66404176,69.31442217,4.459933565,0.034123394,35.82841984,3.099812408,29.33486441,1.104526707,171.5749817,9.899355888,-0.027419336,3.485564709,0.601868374,15.46488926,14.11777055,0.086910885,52.1337252,1.895874882,1.701899864,12.16647423,1.262517057,0.568069697,0,-,0,Y
NC-CMSP-5,43212,29,NC,35.2398926,-81.2713556,299.21,0.20383693,0.074507,3.146014,4.89,4.984765101,122.4294275,265.5374652,0.125434509,110.5820779,42.44865237,21.0780296,6.697563301,0.02547479,20.34251058,2.769885403,20.45426418,0.931035417,171.5749817,9.899355888,-0.027419336,3.485564709,0.578296764,16.1849626,14.63835986,0.084173141,50.9598047,1.857686519,1.666040441,12.19481989,1.241186484,0.594669594,6,booriae,1,Y
TX-GCS-1,43218,39,TX,29.54911,-98.76573,311.54,0.324390244,0.389571,5.367612,7.797,10.71477711,5.942706159,14096.91168,0.108001622,0.552179061,358.8615579,254.4356206,2.74382274,0.048268417,30.59810562,3.180938535,8.761673105,0.224477217,37.07500076,15.69354916,1.951935291,2.899696589,0.032318654,7.781660213,12.16041804,0.627905269,54.7417131,14.94989559,5.853873517,0,3.829970305,0.022245307,6,welshimeri,1,Y
TX-GCS-2,43218,39,TX,29.54993,-98.76425,312.12,0.342210386,0.200492,2.81189,8.152,4.872040816,10.89590445,11617.32308,0.065136678,0.304655012,663.5393007,209.1220731,2.43732558,0.040090685,31.279496,4.110705636,8.468323731,0.088900453,37.07500076,15.69354916,1.951935291,2.899696589,0.031903684,7.872444032,12.3576403,0.592317089,55.18015087,14.62867889,5.698375851,0,3.616240655,0.022248622,6,welshimeri,2,Y
TX-GCS-3,43218,39,TX,29.54978,-98.75463,312.27,0.369655172,0.456278,6.5716,7.16,10.87406091,3.810773529,7497.321848,0,0.372161157,424.7837312,301.3147955,3.63696113,-0.08342362,76.08210359,1.906870818,4.960776831,0.025090406,37.07500076,15.69354916,1.951935291,2.899696589,0.035047734,8.756057277,14.75971315,0.566430147,52.6060194,14.85289396,5.481087865,0,2.91819607,0.024554401,0,-,0,Y
TX-GCS-4,43218,39,TX,29.55308,-98.7545,325.91,0.332010582,0.356208,5.312582,7.502,8.524820937,9.531939491,10524.56585,0.054025048,0.342480213,188.8720701,346.7330078,2.786400558,0.041022125,35.38917461,1.899852881,4.629879476,0.112496256,37.07500076,15.69354916,1.951935291,2.899696589,0.035887728,8.367507125,14.22874964,0.566438468,54.63539327,14.20209618,5.244855043,0,2.695147392,0.023925152,6,farberi,1,Y
TX-GCS-5,43218,39,TX,29.5391,-98.75099,296.28,0.258064516,0.459901,10.171219,7.843,6.734586847,0.911771819,47206.97033,0.167058515,0.38966934,479.6819315,409.3361968,7.33286038,0.110122974,36.19873338,7.010166155,33.6330198,0.422956106,37.07500076,15.69354916,1.951935291,2.899696589,0.042420488,10.64271239,17.43671052,0.484265569,45.07029831,15.47717799,7.018490713,0,3.801673719,0.026250302,6,"farberi, welshimeri",3,Y
TX-DP-1,43226,35,TX,31.03675,-97.5287,211.82,0.366666667,0.311855,6.950147,7.983,9.52483871,8.496041212,35324.0733,0.171587307,2.102996346,509.5210066,825.5398247,16.8309678,0.09128152,46.09762502,5.154524761,30.83033345,0.504106311,37.44999695,14.6283884,1.919999599,3.240360975,11.39048163,8.536774768,6.498862463,0.054778075,24.52777521,0.614102101,39.01521193,4.495579976,2.173493288,2.692940554,4,farberi,1,Y
TX-DP-2,43226,35,TX,31.032478,-97.620277,197.72,0.202830189,0.113357,10.169046,8.394,3.153199079,1.464822357,51474.4511,0.161558676,4.607731633,103.2549619,220.5344786,27.12124636,0.113406462,35.38303813,5.989353715,28.16584736,0.589598106,37.84999847,14.68967915,1.487419128,3.244445324,10.47942691,8.298459247,12.631866,0.483307637,24.97697786,4.927052851,36.19605005,0.430236095,0.336049841,1.240573508,6,"booriae, welshimeri",3,Y
TX-DP-3,43226,35,TX,31.03072,-97.6178,206.11,0.183840749,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.84999847,14.68967915,1.487419128,3.244445324,11.15605201,7.882086854,11.97023821,0.48489965,25.13918027,4.695693444,36.63984913,0.447308901,0.352177008,1.232514527,0,-,0,N
TX-DP-4,43226,35,TX,31.0289,-97.6049,206.56,0.134295228,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.84999847,14.68967915,1.487419128,3.244445324,12.09149641,7.478475508,8.926524975,0.478555267,24.9470021,3.553902534,40.04080313,0.631147231,0.596095157,1.255997683,0,-,0,N
TX-DP-5,43226,35,TX,31.02748,-97.6006,203.46,0.15819209,0.066804,8.723315,8.406,2.361603053,2.02485218,49145.50601,0.154957784,5.989572871,152.0835603,282.9918118,15.92044307,0.105912483,54.98823894,4.86846493,30.25532766,0.29930318,37.84999847,14.68967915,1.487419128,3.244445324,13.79021543,7.292355422,8.356790364,0.48467369,24.1469932,3.142717405,40.08643942,0.71787961,0.712841859,1.269093604,6,welshimeri,1,Y
OR-MD-1,43225,9,OR,44.66694444,-123.2252778,111.82,0.392761394,0.299492,4.990355,5.688,11.39018592,124.7516725,1916.807351,0.57138974,21.42887697,293.0981813,309.8445177,68.99415573,0.045987562,71.07297658,7.923496809,20.83030652,0.881679948,167.1500092,6.909032822,-0.079354994,3.266870975,1.122040838,6.112015117,9.394572463,0.050810981,24.42181513,3.317831085,0.957849982,25.33179361,23.56894651,5.722324287,0,-,0,Y
OR-MD-2,43225,9,OR,44.66777778,-123.2302778,135.15,0.486171761,0.287181,6.677001,5.69,12.11419263,80.15677192,3267.248734,0.423496536,11.29538862,251.6439462,817.5952172,85.57922062,0.047640421,93.98660272,6.916232214,15.03288076,1.590569278,167.1500092,6.909032822,-0.079354994,3.266870975,1.0630056,6.046723537,8.233201971,0.050179407,27.47983901,3.855206166,1.019124863,24.49153984,22.24249461,5.518685006,0,-,0,Y
OR-MD-3,43225,9,OR,44.66944444,-123.2272222,138.46,0.435643564,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,167.1500092,6.909032822,-0.079354994,3.266870975,1.049801562,5.97643928,8.858251604,0.05016045,25.89538503,3.477021687,0.986838653,24.82438595,23.12585656,5.755859223,0,-,0,N
OR-MD-4,43225,9,OR,44.66722222,-123.2333333,147.07,0.516566265,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,167.1500092,6.909032822,-0.079354994,3.266870975,1.008122914,5.796234494,7.877547594,0.050584556,29.28908759,4.095250089,1.065633986,24.00268665,21.45813656,5.356715572,0,-,0,N
CO-RNF-1,43231,12,CO,40.69,-105.3105556,1744.75,0.16298021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.825000286,1.857097268,-14.7364521,4.882415771,0.218692546,1.191055853,0.360779738,0.004617309,22.84119815,29.90001427,43.66966932,0.110395661,0.377150197,1.326426958,0,-,0,N
CO-RNF-2,43231,12,CO,40.69305556,-105.3108333,1750.17,0.165924276,0.297964,3.620743,6.542,4.469512723,2.015333399,2193.027553,0,0.976947662,299.8152099,193.0250973,10.83925249,0,44.29170001,26.31636528,6.906739406,0.831210832,6.825000286,1.857097268,-14.7364521,4.882415771,0.197814797,1.010703419,0.306171948,0.004619878,22.18150663,31.42378355,43.09527659,0.095127498,0.320031583,1.364964101,0,-,0,Y
CO-RNF-3,43231,12,CO,40.6966667,-105.3125,1780.47,0.162764771,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.825000286,1.857097268,-14.7364521,4.882415771,0.181141549,0.768014978,0.256704651,0.004617745,21.45824194,33.73388774,42.20136307,0.07073546,0.200662017,1.124630843,0,-,0,N
CO-RNF-4,43231,12,CO,40.6991667,-105.3147222,1777.57,0.138952164,0.225736,2.704171,6.601,3.890023081,3.259065119,2022.380921,0,0.934013665,241.9269394,171.0180858,9.242447204,0,41.54114164,12.43037218,6.126260909,0.571814563,7.050000191,1.607419729,-14.95677471,4.843577385,0.166356889,0.690811142,0.256353239,0.004615197,21.38032164,34.43147061,41.427061,0.046781319,0.128596183,1.467632781,0,-,0,Y
CO-RNF-5,43231,12,CO,40.7022222,-105.3138889,1791.36,0.10864745,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.050000191,1.607419729,-14.95677471,4.843577385,0.165175123,0.663219047,0.251435575,0.004617348,21.63080527,35.49334262,40.34659492,0.041975889,0.114594177,1.288240035,0,-,0,N
WY-BB-1,43232,12,WY,44.48055556,-109.3216667,1658.22,0.180345572,0.090921,2.376353,7.677,2.016418338,6.99064444,19008.87432,0.019410738,0.909975392,494.7572332,605.3616609,13.09566886,0.059376426,80.75193879,90.93297297,23.29092396,0.09905606,6.300000191,-0.236774176,-10.97290325,4.08163929,9.522790094,0.375269961,0.379677495,0.121102219,10.31761523,73.42887186,2.543146601,2.39035212,0.686525752,0.234648667,0,-,0,Y
WY-BB-2,43232,12,WY,44.47944444,-109.3169444,1669.42,0.13038674,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300000191,-0.236774176,-10.97290325,4.08163929,10.08751215,0.390225676,0.35160194,0.109573858,9.880329393,72.98626548,2.384176023,2.783847722,0.810048888,0.216418866,0,-,0,N
WY-BB-3,43232,12,WY,44.47777778,-109.3413889,1662.83,0.169941061,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300000191,-0.236774176,-10.97290325,4.08163929,5.643049026,0.443460376,0.358671927,0.09192411,11.83029718,75.72301041,2.591294493,2.308596373,0.54356951,0.466126595,0,-,0,N
WY-BB-4,43232,12,WY,44.47833333,-109.3616667,1665.72,0.140350877,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300000191,-0.236774176,-10.97290325,4.08163929,3.653386839,0.320277378,0.35406811,0.112495855,12.60289383,76.52593491,2.772099349,2.644701991,0.3733771,0.640764636,0,-,0,N
WY-BB-5,43232,12,WY,44.47972222,-109.335,1651.09,0.20977354,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300000191,-0.236774176,-10.97290325,4.08163929,6.604958497,0.496101758,0.420279262,0.097456061,11.11209127,75.24469032,2.929352757,2.084803576,0.611620795,0.398645697,0,-,0,N
CA-YNP-1,43235,22,CA,37.742,-119.555,1220.16,0.377720871,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,230.1750183,1.608064294,-10.5312891,2.57758069,0.096966135,0.566055556,0.069051642,1.920013433,63.76824674,28.7013464,4.464220126,0,0,0.414099967,0,-,0,N
CA-YNP-2,43235,22,CA,37.7445,-119.5503,1258.66,0.084835631,0.16428,2.678078,6.779,1.98113882,3.67437683,381.448392,0,1.526057863,17.30901867,11.15835119,2.70674975,0,18.38506817,0.977922292,0.839075213,0.035495435,230.1750183,1.608064294,-10.5312891,2.57758069,0.148031807,0.459423537,0.0716012,2.319794897,62.04380482,29.83187366,4.810298814,0,0,0.315171265,0,-,0,Y
CA-YNP-3,43235,22,CA,37.7505,-119.5481,1251.28,0.151912568,0.074117,1.223727,5.504,1.339506726,12.90141861,96.31272352,0,4.295872454,10.77786875,3.336061265,2.381402126,0,13.17544519,0,0.478922021,0.059701324,246.6999969,0.821613014,-11.27935505,2.588044882,0.134744583,0.467198509,0.079545478,2.265262133,60.73517652,30.92744991,5.083774611,0,0,0.306848257,0,-,0,Y
CA-YNP-4,43235,22,CA,37.7516,-119.5431,1262.69,0.100108814,0.311429,6.396128,6.024,6.141625863,4.27248773,440.7074392,0,2.512754725,24.24848163,18.84876863,3.353149083,0,24.70879929,1.37542306,1.205444949,0.100758844,246.6999969,0.821613014,-11.27935505,2.588044882,0.199344053,0.450097888,0.078478606,3.009255859,59.40012129,31.20280005,5.349345207,0,0,0.310557051,0,-,0,Y
CA-YNP-5,43235,22,CA,37.754,-119.5414,1253.52,0.081865285,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,246.6999969,0.821613014,-11.27935505,2.588044882,0.207360892,0.447882736,0.078285033,2.81091541,58.90791329,31.77826656,5.4402851,0,0,0.32909097,0,-,0,N
CO-HM-1,43231,12,CO,40.42305556,-105.1597222,1586.42,0.072992701,0.142874,2.064818,7.272,2.511433022,3.884782443,2196.42717,0.018643878,0.397083111,211.332025,197.6090118,11.14889887,0.021687062,21.93289542,6.721135351,6.42080452,0.240971243,7.325000763,5.579032421,-11.38580513,4.783289909,3.757414707,7.964854393,13.48185837,0.067167907,8.027824306,27.79554929,26.80356326,2.48206407,5.923579714,3.696123992,6,welshimeri,1,Y
CO-HM-2,43231,12,CO,40.42,-105.1569444,1580.18,0.054166667,0.126262,1.381271,7.42,2.041293375,1.532965903,529.5526043,0,0.11559005,121.972857,53.89857406,2.081401033,0,21.75511357,1.127002986,1.242723058,0,7.325000763,5.579032421,-11.38580513,4.783289909,4.015976593,8.29326242,14.05570819,0.061706759,7.504087548,26.65878891,26.89134363,2.642476498,6.11568548,3.760963969,0,-,0,Y
CO-HM-3,43231,12,CO,40.41694444,-105.155,1567.92,0.080851064,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.325000763,5.579032421,-11.38580513,4.783289909,4.246601795,8.473053641,14.68910308,0.057721209,7.153231968,25.59862141,26.77235595,2.842822,6.29224143,3.874247525,0,-,0,N
CO-HM-4,43231,12,CO,40.41666667,-105.1522222,1556.1,0.096949891,0.074843,3.452022,7.395,1.816596619,5.379559155,3047.51707,0,0.112174547,117.1782809,82.74606757,1.097845292,0,31.70850461,2.327923048,532.2315946,0,7.325000763,5.579032421,-11.38580513,4.783289909,4.490893518,8.664802546,14.9958855,0.058988505,6.684594134,25.10685106,26.77931162,2.756505529,6.606082743,3.856084843,0,-,0,Y
CO-HM-5,43231,12,CO,40.41444444,-105.1525,1552.88,0.095596133,0.178133,3.222768,7.797,2.987223029,3.810412184,21288.07439,0.002174775,0.465125598,401.9915468,400.6314497,11.7573837,0.055404971,50.95565879,54.97208771,42.12780001,0.367088141,7.325000763,5.579032421,-11.38580513,4.783289909,4.573071555,8.582641636,15.11380211,0.060652486,6.703044167,24.67821652,26.617627,2.878789469,6.548999444,4.243155608,0,-,0,Y
